shape function name	shape name	super class	set of base actions	turn angles
unbala_asymm_lamp	unbalanced asymmetric lamp	octagon	line_0.22, line_0.294, line_0.707, line_1.0, line_0.555, line_0.294, line_0.22, line_0.588	L0--R63.435--R33.69--L135.0--L123.69--R45.0--R63.435--L153.435
rec_symm_arc180	rectangle symm arc180	quasi_sector	line_0.4, line_1.0, line_0.4, arc_0.5_180.0	L0--L90.0--L90.0--L0.0
inverse_rec_symm_arc180	inverse rectangle symm arc180	quasi_sector	line_0.4, line_1.0, line_0.4, arc_0.5_180.0	L0--R90.0--R90.0--L180.0
right_trap_arc180	right trapezoid arc180	quasi_sector	line_0.707, line_0.5, line_0.5, arc_0.5_180.0	L0--L45.0--L90.0--L0.0
inverse_right_trap_arc180	inverse right trapezoid arc180	quasi_sector	line_0.4, line_0.5, line_0.64, arc_0.5_180.0	L0--R90.0--R38.66--L128.66
parallel_arc180	parallelogram arc180	quasi_sector	line_0.5, line_1.0, line_0.5, arc_0.5_180.0	L0--L53.13--L126.87--R36.87
inverse_parallel_arc180	inverse parallelogram arc180	quasi_sector	line_0.361, line_1.0, line_0.361, arc_0.5_180.0	L0--R33.69--R146.31--R123.69
trap_symm_arc180	trapezoid symm arc180	quasi_sector	line_0.424, line_0.4, line_0.424, arc_0.5_180.0	L0--L45.0--L45.0--L45.0
inverse_trap_arc180	inverse trapezoid arc180	quasi_sector	line_0.361, line_0.4, line_0.361, arc_0.5_180.0	L0--R33.69--R33.69--L123.69
dagger_arc180	dagger arc180	quasi_sector	line_0.943, line_0.316, line_0.361, arc_0.5_180.0	L0--L140.44--R74.745--L56.31
quard_arc180	quard arc180	quasi_sector	line_0.447, line_0.608, line_0.361, arc_0.5_180.0	L0--L72.897--L46.848--L33.69
acute_triangle_arc180	acute triangle arc180	quasi_sector	line_0.5, line_0.361, line_0.424, arc_0.5_180.0	L0--R56.31--L101.31--L45.0
inverse_acute_triangle_arc180	inverse acute triangle arc180	quasi_sector	line_0.5, line_0.361, line_0.424, arc_0.5_180.0	L0--L56.31--R101.31--L135.0
obtuse_triangle_arc180	obtuse triangle arc180	quasi_sector	line_0.5, line_0.361, line_0.762, arc_0.5_180.0	L0--R123.69--L146.889--L66.801
inverse_obtuse_triangle_arc180	inverse obtuse triangle arc180	quasi_sector	line_0.5, line_0.361, line_0.762, arc_0.5_180.0	L0--L123.69--R146.889--L113.199
two_symm_arcs	two symm arcs	quasi_sector	line_0.707, line_0.707, arc_0.5_180.0	L0--R90.0--L135.0
sector_arc	sector arc	quasi_sector	line_0.5, line_0.5, line_0.707, arc_0.5_180.0	L0--L90.0--R135.0--L135.0
inverse_sector_arc	inverse sector arc	quasi_sector	line_0.5, line_0.5, line_0.707, arc_0.5_180.0	L0--R90.0--R45.0--L135.0
quasi_sector_arc	quasi sector arc	quasi_sector	line_0.566, line_0.906, line_0.707, arc_0.5_180.0	L0--L128.66--R128.66--L135.0
inverse_quasi_sector_arc	inverse quasi sector arc	quasi_sector	line_0.608, line_0.608, line_0.707, arc_0.5_180.0	L0--R108.925--R35.538--L135.0
zero_symm_bridge	zero symm bridge	quasi_sector	line_0.2, line_0.8, line_0.2, arc_0.5_106.26	L0--R90.0--R90.0--R143.13
thin_symm_bridge	thin symm bridge	quasi_sector	line_0.3, line_0.8, line_0.3, arc_0.5_106.26	L0--R90.0--R90.0--R143.13
symm_bridge	symm bridge	quasi_sector	line_0.6, line_0.8, line_0.6, arc_0.5_106.26	L0--R90.0--R90.0--R143.13
asymm_bridge	asymm bridge	quasi_sector	line_0.3, line_0.943, line_0.8, arc_0.5_106.26	L0--R57.995--R122.005--R143.13
symm_trap_bridge	symm trapezoid bridge	quasi_sector	line_0.316, line_1.0, line_0.316, arc_0.5_106.26	L0--R108.435--R108.435--R124.695
asymm_trap_bridge	asymm trapezoid bridge	quasi_sector	line_0.361, line_1.0, line_0.3, arc_0.5_106.26	L0--R123.69--R90.0--R143.13
parallel_bridge	parallelogram bridge	quasi_sector	line_0.762, line_0.8, line_0.762, arc_0.5_106.26	L0--R66.801--R113.199--R119.932
thin_parallel_bridge	thin parallelogram bridge	quasi_sector	line_0.316, line_1.0, line_0.424, arc_0.5_106.26	L0--R71.565--R135.0--R98.13
arc_cup	arc_cup	quasi_sector	line_1.0, arc_0.5_106.26, line_1.0, arc_0.5_106.26	L0--R143.13--R143.13--R143.13
trans_arc_cup	transposed arc_cup	quasi_sector	line_0.985, arc_0.5_106.26, line_0.985, arc_0.5_106.26	L0--R119.168--R167.09--R119.168
touched_arc_cup	touched arc_cup	quasi_sector	line_0.4, arc_0.5_106.26, line_0.4, arc_0.5_106.26	L0--R143.13--R143.13--R143.13
thin_regular_arc_cup	thin regular arc_cup	quasi_sector	line_0.5, arc_0.5_106.26, line_0.5, arc_0.5_106.26	L0--R143.13--R143.13--R143.13
thin_trans_arc_cup	thin transposed arc_cup	quasi_sector	line_0.492, arc_0.5_106.26, line_0.492, arc_0.5_106.26	L0--R119.168--R167.09--R119.168
symm_arc_cup	symm arc_cup	quasi_sector	line_0.806, arc_0.5_73.74, line_0.806, arc_0.5_106.26	L0--R119.745--R119.745--R150.255
irregular_arc_cup	irregular arc_cup	quasi_sector	line_0.854, arc_0.5_73.74, line_0.806, arc_0.5_106.26	L0--R106.314--R133.995--R136.005
thin_symm_arc_cup	thin symm arc_cup	quasi_sector	line_0.364, arc_0.5_73.74, line_0.364, arc_0.5_106.26	L0--R110.925--R110.925--R159.075
thin_irregular_arc_cup	thin irregular arc_cup	quasi_sector	line_0.403, arc_0.5_73.74, line_0.35, arc_0.5_106.26	L0--R97.125--R126.87--R143.13
symm_trans_band	symm transposed band	quasi_sector	line_0.7, arc_0.5_-106.26, line_0.7, arc_0.5_106.26	L0--L143.13--L143.13--R143.13
thin_symm_trans_band	thin symm transposed band	quasi_sector	line_0.1, arc_0.5_-106.26, line_0.1, arc_0.5_106.26	L0--L143.13--L143.13--R143.13
trans_band	transposed band	quasi_sector	line_0.728, arc_0.5_-106.26, line_0.728, arc_0.5_106.26	L0--L159.075--L127.185--R127.185
thin_trans_band	thin transposed band	quasi_sector	line_0.224, arc_0.5_-106.26, line_0.224, arc_0.5_106.26	L0--L169.695--L116.565--R116.565
symm_band	symm band	quasi_sector	line_0.707, arc_0.5_-73.74, line_0.707, arc_0.5_106.26	L0--L135.0--L135.0--R151.26
thin_symm_band	thin symm band	quasi_sector	line_0.224, arc_0.5_-73.74, line_0.224, arc_0.5_106.26	L0--L153.435--L153.435--R169.695
asymm_band	asymm band	quasi_sector	line_0.762, arc_0.5_-73.74, line_0.707, arc_0.5_106.26	L0--L150.068--L118.74--R135.0
symm_trans_turtle	symm transposed turtle	quasi_sector	line_0.5, arc_0.5_106.26, line_0.5, arc_0.5_106.26	L0--L36.87--L36.87--L36.87
trans_turtle	transposed turtle	quasi_sector	line_0.583, arc_0.5_106.26, line_0.583, arc_0.5_106.26	L0--L5.906--L67.834--L5.906
symm_trans_axe	symm transposed axe	quasi_sector	line_0.361, line_0.361, arc_0.5_106.26, line_0.361, line_0.361, arc_0.5_106.26	L0--R67.38--L70.56--L70.56--R67.38--L70.56
symm_axe	symm axe	quasi_sector	line_0.361, line_0.361, arc_0.5_106.26, line_0.5, line_0.5, arc_0.5_106.26	L0--R67.38--L70.56--L90.0--R106.26--L90.0
trans_axe	transposed axe	quasi_sector	line_0.412, line_0.64, arc_0.5_106.26, line_0.412, line_0.64, arc_0.5_106.26	L0--R114.624--L75.53--L112.834--R114.624--L75.53
symm_trans_sharp_axe	symm transposed sharp axe	quasi_sector	line_0.364, line_0.364, arc_0.5_106.26, line_0.364, line_0.364, arc_0.5_106.26	L0--R148.109--L110.925--L110.925--R148.109--L110.925
symm_sharp_axe	symm sharp axe	quasi_sector	line_0.461, line_0.461, arc_0.5_106.26, line_0.224, line_0.224, arc_0.5_106.26	L0--R154.942--L114.341--L100.305--R126.87--L100.305
trans_sharp_axe	transposed sharp axe	quasi_sector	line_0.5, line_0.539, arc_0.5_106.26, line_0.5, line_0.539, arc_0.5_106.26	L0--R158.199--L105.068--L126.87--R158.199--L105.068
inverse_symm_sharp_axe	inverse symm sharp axe	quasi_sector	line_0.316, line_0.316, arc_0.5_106.26, line_0.316, line_0.316, arc_0.5_106.26	L0--L143.13--R34.695--R34.695--L143.13--R34.695
inverse_trans_sharp_axe	inverse trans sharp axe	quasi_sector	line_0.316, line_0.316, arc_0.5_106.26, line_0.316, line_0.316, arc_0.5_106.26	L0--R143.13--L108.435--R34.695--L143.13--R34.695
inverse_asymm_sharp_axe	inverse asymm sharp axe	quasi_sector	line_0.412, line_0.5, arc_0.5_106.26, line_0.5, line_0.412, arc_0.5_106.26	L0--R157.166--L90.0--R16.26--L157.166--R67.166
open_equilateral_traingle	open equilateral triangle	triangle	line_1.0, line_1.0	L0--L120.0
open_right_equi_triangle	open right equicrural triangle	triangle	line_1.0, line_0.707	L0--L135.0
open_square_right_triangle	open square right_triangle	hexagon*	line_1.0, line_0.5, line_0.707, line_0.5, line_0.5	L0--L90.0--L135.0--R135.0--L90.0
open_thin_symmetric_arrow	open thin symmetric arrow	hexagon	line_1.0, line_0.316, line_0.316, line_1.0, line_0.316	L0--L18.435--L143.13--L18.435--L161.565
open_regular_hexagon	open regular hexagon	hexagon	line_0.5, line_0.5, line_0.5, line_0.5, line_0.5	L0--L60.0--L60.0--L60.0--L60.0
open_rec_symm_arc180	open rectangle symm arc180	quasi_sector	line_0.4, line_1.0, line_0.4, arc_0.5_90.0	L0--L90.0--L90.0--L0.0
open_regular_heptagon	open regular heptagon	heptagon	line_0.4, line_0.4, line_0.4, line_0.4, line_0.4, line_0.4	L0--L51.429--L51.429--L51.429--L51.429--L51.429
open_two_equilateral_triangles	open two equilateral triangles	pentagon*	line_1.0, line_0.5, line_0.5, line_0.5	L0--L120.0--L120.0--R120.0
open_right_trapezoid	open right trapezoid	quadrangle	line_1.0, line_0.707, line_0.5	L0--L135.0--L45.0
open_two_asymm_bala_quadrangles	open two asymm_bala quadrangles	hexagon*	line_1.0, line_0.399, line_0.399, line_0.758, line_0.399	L0--R93.814--R90.0--R74.745--L74.745
open_symmetric_crown	open symmetric crown	heptagon	line_1.0, line_0.583, line_0.539, line_0.539, line_0.583, line_1.0	L0--L149.036--R127.235--L136.397--R127.235--L149.036
open_trap_symm_arc180	open trapezoid symm arc180	quasi_sector	line_0.424, line_0.4, line_0.424, arc_0.5_90.0	L0--L45.0--L45.0--L45.0
open_two_symm_arcs	open two symm arcs	quasi_sector	line_0.707, line_0.707, arc_0.5_90.0	L0--R90.0--L135.0
open_symm_trans_band	open symm transposed band	quasi_sector	line_0.7, arc_0.5_-106.26, line_0.7, arc_0.5_90.0	L0--L143.13--L143.13--R143.13
open_symm_bridge	open symm bridge	quasi_sector	line_0.6, line_0.8, line_0.6, arc_0.5_60.0	L0--R90.0--R90.0--R143.13
band_half_circles	band half circles	quasi_sector	line_0.3, arc_0.5_180.0, line_0.3, arc_0.5_180.0	L0--L0.0--L0.0--L0.0
open_band_half_circles	open band half circles	quasi_sector	line_0.3, arc_0.5_180.0, line_0.3	L0--L0.0--L0.0
open_line_half_circle	open line half circle	quasi_sector	line_0.6, arc_0.5_180.0	L0--L0.0
open_s	open s	arc	arc_0.5_90.0, arc_0.5_-90.0	L0--L180.0
open_line_s	open line s	arc	arc_0.5_90.0, line_0.3, arc_0.5_-90.0	L0--L0.0--L180.0
open_symm_arc60	open symm arc60	arc	line_0.4, arc_0.5_60.0, line_0.4	L0--L0.0--L0.0
open_asymm_arc60	open asymm arc60	arc	line_0.3, arc_0.5_60.0, line_0.6	L0--L0.0--L0.0
symm_trans_arc_lamp	symm trans arc lamp	quasi_sector	line_0.283, line_0.3, line_0.283, arc_0.5_73.74, line_0.283, line_0.3, line_0.283, arc_0.5_73.74	L0--R45.0--R45.0--L98.13--L98.13--R45.0--R45.0--L98.13
trans_arc_lamp	trans arc lamp	quasi_sector	line_0.283, line_0.447, line_0.283, arc_0.5_73.74, line_0.283, line_0.447, line_0.283, arc_0.5_73.74	L0--R108.435--L18.435--L98.13--L98.13--R108.435--L18.435--L98.13
symm_arc_lamp	symm arc lamp	quasi_sector	line_0.283, line_0.3, line_0.283, line_0.6, line_0.283, line_0.3, line_0.283, arc_0.5_73.74	L0--R45.0--R45.0--L135.0--L135.0--R45.0--R45.0--L98.13
asymm_arc_lamp	asymm arc lamp	quasi_sector	line_0.283, line_0.447, line_0.283, line_0.6, line_0.283, line_0.447, line_0.283, arc_0.5_73.74	L0--R108.435--L18.435--L135.0--L135.0--R108.435--L18.435--L98.13
open_symm_trans_arc_lamp	open symm trans arc lamp	quasi_sector	line_0.283, line_0.3, line_0.283, arc_0.5_73.74, line_0.283, line_0.3, line_0.283	L0--R45.0--R45.0--L98.13--L98.13--R45.0--R45.0
open_symm_arc_lamp	open symm arc lamp	quasi_sector	line_0.283, line_0.3, line_0.283, line_0.6, line_0.283, line_0.3, line_0.283	L0--R45.0--R45.0--L135.0--L135.0--R45.0--R45.0
open_equil_obtuse_triangle1	open_equil_obtuse triangle	triangle	line_0.7, line_0.7	L0--L60.0
open_equil_obtuse_triangle2	open_equil_obtuse triangle	triangle	line_0.7, line_0.7	L0--L30.0
open_equil_right_triangle	open_equil_right triangle	triangle	line_0.8, line_0.8	L0--L90.0
open_obtuse_triangle1	open_obtuse triangle	triangle	line_0.7, line_0.4	L0--L60.0
open_obtuse_triangle2	open_obtuse triangle	triangle	line_0.7, line_0.4	L0--L30.0
open_right_triangle	open_right triangle	triangle	line_0.8, line_0.4	L0--L90.0
open_line_arc1	open_line arc1	quasi_sector	line_0.6, arc_0.5_90.0	L0--L0.0
open_line_arc2	open_line arc2	quasi_sector	line_0.4, arc_0.5_90.0	L0--L0.0
open_line_arc3	open_line arc3	quasi_sector	line_0.4, arc_0.5_128.0	L0--L0.0
open_line_arc4	open_line arc4	quasi_sector	line_0.4, arc_0.5_153.0	L0--L0.0
open_line_arc5	open_line arc5	quasi_sector	line_0.4, arc_0.5_270.0	L0--L0.0
open_line_arc6	open_line arc6	quasi_sector	line_0.4, arc_0.5_227.0	L0--L0.0
open_s1	open s1	arc	arc_0.5_90.0, arc_0.5_-60.0	L0--L180.0
open_s2	open s2	arc	arc_0.5_120.0, arc_0.5_-60.0	L0--L180.0
open_s3	open s3	arc	arc_0.5_60.0, arc_0.5_-60.0	L0--L180.0
open_s4	open s4	arc	arc_0.5_120.0, arc_0.5_-90.0	L0--L180.0
open_s5	open s5	arc	arc_0.5_120.0, arc_0.5_-120.0	L0--L180.0
open_arbitrary_arc1	open arbitrary arc1	arc	arc_0.5_120.0	L0
open_arbitrary_arc2	open arbitrary arc2	arc	arc_0.5_225.0	L0
open_line_s1	open line s1	arc	arc_0.5_90.0, line_0.5, arc_0.5_-45.0	L0--L0.0--L180.0
open_line_s2	open line s2	arc	arc_0.5_115.0, line_0.5, arc_0.5_-45.0	L0--L0.0--L180.0
open_line_s3	open line s3	arc	arc_0.5_45.0, line_0.5, arc_0.5_-45.0	L0--L0.0--L180.0
open_line_s4	open line s4	arc	arc_0.5_177.0, line_0.3, arc_0.5_-45.0	L0--L0.0--L180.0
open_line_s5	open line s5	arc	arc_0.5_214.0, line_0.3, arc_0.5_-45.0	L0--L0.0--L180.0
open_arc_line_arc1	open arc line arc1	arc	arc_0.5_45.0, line_0.45, arc_0.5_45.0	L0--L0.0--L0.0
open_arc_line_arc2	open arc line arc2	arc	arc_0.5_45.0, line_0.3, arc_0.5_90.0	L0--L0.0--L0.0
open_arc_line_arc3	open arc line arc3	arc	arc_0.5_60.0, line_0.3, arc_0.5_60.0	L0--L0.0--L0.0
open_arc_line_arc4	open arc line arc4	arc	arc_0.5_45.0, line_0.3, arc_0.5_133.0	L0--L0.0--L0.0
open_arc_line_arc5	open arc line arc5	arc	arc_0.5_45.0, line_0.3, arc_0.5_179.0	L0--L0.0--L0.0
open_arc_line_arc6	open arc line arc6	arc	arc_0.5_45.0, line_0.3, arc_0.5_204.0	L0--L0.0--L0.0
open_arc_line_arc7	open arc line arc7	arc	arc_0.5_45.0, line_0.3, arc_0.5_220.0	L0--L0.0--L0.0
band_four_arcs	band four arcs	quasi_sector	line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
open_band_four_arcs1	open band four arcs	quasi_sector	arc_0.5_90.0, line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
open_band_four_arcs2	open band four arcs	quasi_sector	line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0, line_0.3, arc_0.5_90.0, line_0.3	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
uneven_band_four_arcs	uneven band four arcs	quasi_sector	line_0.2, arc_0.5_90.0, line_0.4, arc_0.5_90.0, line_0.2, arc_0.5_90.0, line_0.4, arc_0.5_90.0	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
open_uneven_band_four_arcs1	open uneven band four arcs1	quasi_sector	line_0.2, arc_0.5_90.0, line_0.4, arc_0.5_90.0, line_0.2, arc_0.5_90.0, line_0.4	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
open_uneven_band_four_arcs2	open uneven band four arcs2	quasi_sector	arc_0.5_90.0, line_0.4, arc_0.5_90.0, line_0.2, arc_0.5_90.0, line_0.4, arc_0.5_90.0	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
open_uneven_band_four_arcs3	open uneven band four arcs3	quasi_sector	arc_0.5_90.0, line_0.2, arc_0.5_90.0, line_0.4, arc_0.5_90.0, line_0.2, arc_0.5_90.0	L0--L0.0--L0.0--L0.0--L0.0--L0.0--L0.0
band_three_arcs1	band three arcs1	quasi_sector	arc_0.5_120.0, line_0.3, arc_0.5_120.0, line_0.3, arc_0.5_120.0, line_0.3	L0--L0.0--L0.0--L0.0--L0.0--L0.0
open_band_three_arcs1	open band three arcs1	quasi_sector	line_0.3, arc_0.5_120.0, line_0.3, arc_0.5_120.0, line_0.3	L0--L0.0--L0.0--L0.0--L0.0
open_band_three_arcs2	open band three arcs2	quasi_sector	arc_0.5_120.0, line_0.3, arc_0.5_120.0, line_0.3, arc_0.5_120.0	L0--L0.0--L0.0--L0.0--L0.0
band_three_arcs2	band three arcs2	quasi_sector	arc_0.5_120.0, line_0.2, arc_0.5_120.0, line_0.2, arc_0.5_120.0, line_0.2	L0--L0.0--L0.0--L0.0--L0.0--L0.0
open_band_three_arcs3	open band three arcs3	quasi_sector	line_0.2, arc_0.5_120.0, line_0.2, arc_0.5_120.0, line_0.2	L0--L0.0--L0.0--L0.0--L0.0
open_band_three_arcs4	open band three arcs4	quasi_sector	arc_0.5_120.0, line_0.2, arc_0.5_120.0, line_0.2, arc_0.5_120.0	L0--L0.0--L0.0--L0.0--L0.0
band_three_arcs3	band three arcs3	quasi_sector	arc_0.5_120.0, line_0.4, arc_0.5_120.0, line_0.4, arc_0.5_120.0, line_0.4	L0--L0.0--L0.0--L0.0--L0.0--L0.0
open_band_three_arcs5	open band three arcs3	quasi_sector	line_0.4, arc_0.5_120.0, line_0.4, arc_0.5_120.0, line_0.4	L0--L0.0--L0.0--L0.0--L0.0
open_band_three_arcs6	open band three arcs4	quasi_sector	arc_0.5_120.0, line_0.4, arc_0.5_120.0, line_0.4, arc_0.5_120.0	L0--L0.0--L0.0--L0.0--L0.0
bala_two_intersect_circles1	balanced two intersect circles1	arc	arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0	L0--R180.0--R90.0--L180.0
bala_two_intersect_circles2	balanced two intersect circles2	arc	arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0	L0--R150.0--R90.0--L150.0
bala_two_intersect_circles3	balanced two intersect circles3	arc	arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0	L0--R120.0--R90.0--L120.0
bala_two_intersect_circles4	balanced two intersect circles4	arc	arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0	L0--R90.0--R90.0--L90.0
bala_two_intersect_circles5	balanced two intersect circles5	arc	arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0	L0--R180.0--R120.0--L180.0
bala_two_intersect_circles6	balanced two intersect circles6	arc	arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0	L0--R150.0--R120.0--L150.0
bala_two_intersect_circles7	balanced two intersect circles7	arc	arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0	L0--R120.0--R120.0--L120.0
bala_two_intersect_circles8	balanced two intersect circles8	arc	arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0	L0--R90.0--R120.0--L90.0
bala_two_intersect_circles9	balanced two intersect circles9	arc	arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0	L0--R60.0--R120.0--L60.0
scissor	scissor	arc	arc_0.5_60.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_60.0	L0--R180.0--R120.0--L180.0
unbala_two_intersect_circles1	unbalanced two intersect circles1	arc	arc_0.5_60.0, arc_0.5_-120.0, arc_0.5_-120.0, arc_0.5_60.0	L0--R150.0--R60.0--R150.0
unbala_two_intersect_circles2	unbalanced two intersect circles2	arc	arc_0.5_60.0, arc_0.5_-120.0, arc_0.5_-120.0, arc_0.5_60.0	L0--R120.0--R60.0--R180.0
unbala_two_intersect_circles3	unbalanced two intersect circles2	arc	arc_0.5_60.0, arc_0.5_-120.0, arc_0.5_-120.0, arc_0.5_60.0	L0--R60.0--R60.0--L120.0
bala_three_intersect_circles1	balanced three intersect circles1	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0, arc_0.5_90.0	L0--L90.0--R180.0--R90.0--R90.0--L90.0
bala_three_intersect_circles2	balanced three intersect circles2	arc	arc_0.5_60.0, arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0	L0--L120.0--R180.0--R120.0--R120.0--L120.0
bala_three_intersect_circles3	balanced three intersect circles3	arc	arc_0.5_60.0, arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0	L0--L120.0--R180.0--R120.0--R90.0--L120.0
unbala_three_intersect_circles1	unbalanced three intersect circles	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0	L0--L90.0--R180.0--R120.0--R90.0--L120.0
unbala_three_intersect_circles2	unbalanced three intersect circles2	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0	L0--L90.0--R180.0--R120.0--R120.0--L120.0
unbala_three_intersect_circles3	unbalanced three intersect circles3	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0	L0--L90.0--R150.0--R120.0--R120.0--L120.0
unbala_three_intersect_circles4	unbalanced three intersect circles4	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_60.0, arc_0.5_60.0	L0--L90.0--R180.0--R90.0--R90.0--L120.0
unbala_three_intersect_circles5	unbalanced three intersect circles5	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_60.0, arc_0.5_60.0	L0--L90.0--R180.0--R90.0--R75.0--L120.0
bala_four_intersect_circles1	balanced four intersect circles1	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0	L0--L90.0--R180.0--R90.0--R90.0--L90.0--R180.0--R90.0
bala_four_intersect_circles2	balanced four intersect circles2	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0	L0--L90.0--R180.0--R90.0--R90.0--L90.0--R180.0--R120.0
bala_four_intersect_circles3	balanced four intersect circles3	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-90.0, arc_0.5_-90.0, arc_0.5_60.0, arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0	L0--L90.0--R180.0--R90.0--R90.0--L120.0--R180.0--R120.0
bala_four_intersect_circles4	balanced four intersect circles4	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0	L0--L90.0--R180.0--R120.0--R90.0--L120.0--R180.0--R120.0
bala_four_intersect_circles5	balanced four intersect circles5	arc	arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_90.0, arc_0.5_90.0, arc_0.5_-60.0, arc_0.5_-60.0	L0--L90.0--R180.0--R120.0--R120.0--L90.0--R180.0--R120.0
bala_four_intersect_circles6	balanced four intersect circles6	arc	arc_0.5_60.0, arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0, arc_0.5_60.0, arc_0.5_60.0, arc_0.5_-60.0, arc_0.5_-60.0	L0--L120.0--R180.0--R120.0--R120.0--L120.0--R180.0--R120.0
bird1	bird1	arc	arc_0.5_120.0, arc_0.5_120.0	L0--R120.0
bird2	bird2	arc	arc_0.5_120.0, arc_0.5_120.0	L0--R150.0
bird3	bird3	arc	arc_0.5_120.0, arc_0.5_180.0	L0--R150.0
bird4	bird4	arc	arc_0.5_120.0, arc_0.5_180.0	L0--R60.0
bird5	bird4	arc	arc_0.5_120.0, arc_0.5_-120.0	L0--L60.0
bird6	bird4	arc	arc_0.5_120.0, arc_0.5_-159.0	L0--L60.0
bird7	bird4	arc	arc_0.5_120.0, arc_0.5_-120.0	L0--L131.0
bird8	bird4	arc	arc_0.5_120.0, arc_0.5_-159.0	L0--L131.0
two_mismatch_sectors1	two_mismatch sectors1	sector	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, arc_0.5_90.0, line_0.5	L0--L90.0--L90.0--R30.0--L90.0--L90.0
two_mismatch_sectors2	two_mismatch sectors2	sector	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, arc_0.5_90.0, line_0.5	L0--L90.0--L90.0--R60.0--L90.0--L90.0
two_mismatch_sectors3	two_mismatch sectors3	sector	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, arc_0.5_60.0, line_0.5	L0--L90.0--L90.0--R30.0--L90.0--L90.0
two_mismatch_sectors4	two_mismatch sectors4	sector	line_0.5, arc_0.5_90.0, line_0.5, line_0.5, arc_0.5_60.0, line_0.5	L0--L90.0--L90.0--R60.0--L90.0--L90.0
two_mismatch_sectors5	two_mismatch sectors5	sector	line_0.5, arc_0.5_120.0, line_0.5, line_0.5, arc_0.5_60.0, line_0.5	L0--L90.0--L90.0--R30.0--L90.0--L90.0
two_mismatch_sectors6	two_mismatch sectors6	sector	line_0.5, arc_0.5_120.0, line_0.5, line_0.5, arc_0.5_60.0, line_0.5	L0--L90.0--L90.0--R90.0--L90.0--L90.0
